week,matchup_id,team_id,team_name,opponent_id,opponent_name,team_score,opponent_score,winner,season
12,72,11,KIRK,7,POO,105.68,99.0,True,2024
12,73,5,WOOD,8,MP,89.96,75.78,True,2024
12,73,8,MP,5,WOOD,75.78,89.96,False,2024
12,74,10,ZSF,2,3000,97.08,115.24,False,2024
12,74,2,3000,10,ZSF,115.24,97.08,True,2024
12,75,4,sgf,3,GV,101.46,131.02,False,2024
12,75,3,GV,4,sgf,131.02,101.46,True,2024
12,76,12,GEMP,6,ROUX,85.68,127.5,False,2024
12,76,6,ROUX,12,GEMP,127.5,85.68,True,2024
12,77,1,PATS,7,POO,114.64,100.9,True,2024
12,77,7,POO,1,PATS,100.9,114.64,False,2024
12,78,9,KESS,11,KIRK,120.22,103.52,True,2024
12,78,11,KIRK,9,KESS,103.52,120.22,False,2024
12,79,8,MP,2,3000,136.28,116.82,True,2024
12,79,2,3000,8,MP,116.82,136.28,False,2024
12,80,3,GV,5,WOOD,73.16,119.82,False,2024
12,80,5,WOOD,3,GV,119.82,73.16,True,2024
12,81,6,ROUX,10,ZSF,94.5,111.72,False,2024
12,81,10,ZSF,6,ROUX,111.72,94.5,True,2024
12,82,7,POO,4,sgf,81.86,107.06,False,2024
12,82,4,sgf,7,POO,107.06,81.86,True,2024
12,83,11,KIRK,12,GEMP,171.58,129.16,True,2024
12,83,12,GEMP,11,KIRK,129.16,171.58,False,2024
12,84,9,KESS,1,PATS,107.42,85.94,True,2024
12,84,1,PATS,9,KESS,85.94,107.42,False,2024
12,85,3,GV,8,MP,115.64,107.4,True,2024
12,85,8,MP,3,GV,107.4,115.64,False,2024
12,86,2,3000,6,ROUX,116.56,96.36,True,2024
12,86,6,ROUX,2,3000,96.36,116.56,False,2024
12,87,5,WOOD,7,POO,97.9,105.16,False,2024
12,87,7,POO,5,WOOD,105.16,97.9,True,2024
12,88,10,ZSF,11,KIRK,99.9,118.88,False,2024
12,88,11,KIRK,10,ZSF,118.88,99.9,True,2024
12,89,4,sgf,9,KESS,116.24,117.8,False,2024
12,89,9,KESS,4,sgf,117.8,116.24,True,2024
12,90,12,GEMP,1,PATS,141.06,86.24,True,2024
12,90,1,PATS,12,GEMP,86.24,141.06,False,2024
12,91,3,GV,5,WOOD,133.5,123.62,True,2024
12,91,5,WOOD,3,GV,123.62,133.5,False,2024
12,92,4,sgf,2,3000,137.78,126.94,True,2024
12,92,2,3000,4,sgf,126.94,137.78,False,2024
12,93,11,KIRK,9,KESS,88.56,107.54,False,2024
12,93,9,KESS,11,KIRK,107.54,88.56,True,2024
12,94,10,ZSF,6,ROUX,118.48,114.3,True,2024
12,94,6,ROUX,10,ZSF,114.3,118.48,False,2024
12,95,1,PATS,12,GEMP,97.42,108.64,False,2024
12,95,12,GEMP,1,PATS,108.64,97.42,True,2024
12,96,7,POO,8,MP,133.68,98.38,True,2024
12,96,8,MP,7,POO,98.38,133.68,False,2024
12,97,3,GV,4,sgf,142.4,126.28,True,2024
12,97,4,sgf,3,GV,126.28,142.4,False,2024
12,98,2,3000,5,WOOD,95.4,126.46,False,2024
12,98,5,WOOD,2,3000,126.46,95.4,True,2024
12,99,9,KESS,10,ZSF,118.38,88.6,True,2024
12,99,10,ZSF,9,KESS,88.6,118.38,False,2024
12,100,11,KIRK,12,GEMP,100.38,52.88,True,2024
12,100,12,GEMP,11,KIRK,52.88,100.38,False,2024
12,101,6,ROUX,7,POO,93.2,134.32,False,2024
12,101,7,POO,6,ROUX,134.32,93.2,True,2024
12,102,1,PATS,8,MP,101.08,106.12,False,2024
12,102,8,MP,1,PATS,106.12,101.08,True,2024
13,1,10,ZSF,8,MP,123.3,78.12,True,2024
13,1,8,MP,10,ZSF,78.12,123.3,False,2024
13,2,4,sgf,5,WOOD,80.86,89.36,False,2024
13,2,5,WOOD,4,sgf,89.36,80.86,True,2024
13,3,12,GEMP,2,3000,103.76,101.48,True,2024
13,3,2,3000,12,GEMP,101.48,103.76,False,2024
13,4,1,PATS,3,GV,84.06,148.32,False,2024
13,4,3,GV,1,PATS,148.32,84.06,True,2024
13,5,9,KESS,6,ROUX,120.42,110.44,True,2024
13,5,6,ROUX,9,KESS,110.44,120.42,False,2024
13,6,11,KIRK,7,POO,134.68,71.88,True,2024
13,6,7,POO,11,KIRK,71.88,134.68,False,2024
13,7,8,MP,5,WOOD,115.28,119.12,False,2024
13,7,5,WOOD,8,MP,119.12,115.28,True,2024
13,8,2,3000,10,ZSF,83.96,135.1,False,2024
13,8,10,ZSF,2,3000,135.1,83.96,True,2024
13,9,3,GV,4,sgf,104.2,116.22,False,2024
13,9,4,sgf,3,GV,116.22,104.2,True,2024
13,10,6,ROUX,12,GEMP,96.04,117.4,False,2024
13,10,12,GEMP,6,ROUX,117.4,96.04,True,2024
13,11,7,POO,1,PATS,65.44,114.44,False,2024
13,11,1,PATS,7,POO,114.44,65.44,True,2024
13,12,11,KIRK,9,KESS,108.46,111.22,False,2024
13,12,9,KESS,11,KIRK,111.22,108.46,True,2024
13,13,2,3000,8,MP,87.58,68.48,True,2024
13,13,8,MP,2,3000,68.48,87.58,False,2024
13,14,5,WOOD,3,GV,145.76,113.08,True,2024
13,14,3,GV,5,WOOD,113.08,145.76,False,2024
13,15,10,ZSF,6,ROUX,109.02,62.98,True,2024
13,15,6,ROUX,10,ZSF,62.98,109.02,False,2024
13,16,4,sgf,7,POO,132.18,68.58,True,2024
13,16,7,POO,4,sgf,68.58,132.18,False,2024
13,17,12,GEMP,11,KIRK,53.6,133.52,False,2024
13,17,11,KIRK,12,GEMP,133.52,53.6,True,2024
13,18,1,PATS,9,KESS,119.56,118.64,True,2024
13,18,9,KESS,1,PATS,118.64,119.56,False,2024
13,19,8,MP,3,GV,114.64,116.28,False,2024
13,19,3,GV,8,MP,116.28,114.64,True,2024
13,20,6,ROUX,2,3000,78.9,81.5,False,2024
13,20,2,3000,6,ROUX,81.5,78.9,True,2024
13,21,7,POO,5,WOOD,88.78,105.94,False,2024
13,21,5,WOOD,7,POO,105.94,88.78,True,2024
13,22,11,KIRK,10,ZSF,137.8,105.88,True,2024
13,22,10,ZSF,11,KIRK,105.88,137.8,False,2024
13,23,9,KESS,4,sgf,95.42,131.26,False,2024
13,23,4,sgf,9,KESS,131.26,95.42,True,2024
13,24,1,PATS,12,GEMP,90.82,107.7,False,2024
13,24,12,GEMP,1,PATS,107.7,90.82,True,2024
13,25,6,ROUX,8,MP,148.5,103.12,True,2024
13,25,8,MP,6,ROUX,103.12,148.5,False,2024
13,26,3,GV,7,POO,125.26,122.0,True,2024
13,26,7,POO,3,GV,122.0,125.26,False,2024
13,27,2,3000,11,KIRK,127.96,123.24,True,2024
13,27,11,KIRK,2,3000,123.24,127.96,False,2024
13,28,5,WOOD,9,KESS,116.28,91.76,True,2024
13,28,9,KESS,5,WOOD,91.76,116.28,False,2024
13,29,10,ZSF,1,PATS,61.16,99.42,False,2024
13,29,1,PATS,10,ZSF,99.42,61.16,True,2024
13,30,4,sgf,12,GEMP,118.58,76.44,True,2024
13,30,12,GEMP,4,sgf,76.44,118.58,False,2024
13,31,8,MP,7,POO,76.32,82.46,False,2024
13,31,7,POO,8,MP,82.46,76.32,True,2024
13,32,11,KIRK,6,ROUX,84.1,103.0,False,2024
13,32,6,ROUX,11,KIRK,103.0,84.1,True,2024
13,33,9,KESS,3,GV,126.66,86.18,True,2024
13,33,3,GV,9,KESS,86.18,126.66,False,2024
13,34,1,PATS,2,3000,99.06,98.7,True,2024
13,34,2,3000,1,PATS,98.7,99.06,False,2024
13,35,12,GEMP,5,WOOD,89.38,109.52,False,2024
13,35,5,WOOD,12,GEMP,109.52,89.38,True,2024
13,36,4,sgf,10,ZSF,102.32,136.82,False,2024
13,36,10,ZSF,4,sgf,136.82,102.32,True,2024
13,37,11,KIRK,8,MP,117.92,88.94,True,2024
13,37,8,MP,11,KIRK,88.94,117.92,False,2024
13,38,7,POO,9,KESS,124.3,114.88,True,2024
13,38,9,KESS,7,POO,114.88,124.3,False,2024
13,39,6,ROUX,1,PATS,111.3,73.44,True,2024
13,39,1,PATS,6,ROUX,73.44,111.3,False,2024
13,40,3,GV,12,GEMP,125.48,57.24,True,2024
13,40,12,GEMP,3,GV,57.24,125.48,False,2024
13,41,2,3000,4,sgf,69.88,102.74,False,2024
13,41,4,sgf,2,3000,102.74,69.88,True,2024
13,42,5,WOOD,10,ZSF,67.74,123.0,False,2024
13,42,10,ZSF,5,WOOD,123.0,67.74,True,2024
13,43,8,MP,9,KESS,122.76,130.14,False,2024
13,43,9,KESS,8,MP,130.14,122.76,True,2024
13,44,1,PATS,11,KIRK,112.46,140.72,False,2024
13,44,11,KIRK,1,PATS,140.72,112.46,True,2024
13,45,12,GEMP,7,POO,90.7,89.58,True,2024
13,45,7,POO,12,GEMP,89.58,90.7,False,2024
13,46,4,sgf,6,ROUX,84.76,99.4,False,2024
13,46,6,ROUX,4,sgf,99.4,84.76,True,2024
13,47,10,ZSF,3,GV,94.34,92.54,True,2024
13,47,3,GV,10,ZSF,92.54,94.34,False,2024
13,48,5,WOOD,2,3000,118.14,137.44,False,2024
13,48,2,3000,5,WOOD,137.44,118.14,True,2024
13,49,1,PATS,8,MP,90.56,103.9,False,2024
13,49,8,MP,1,PATS,103.9,90.56,True,2024
13,50,9,KESS,12,GEMP,102.08,118.44,False,2024
13,50,12,GEMP,9,KESS,118.44,102.08,True,2024
13,51,11,KIRK,4,sgf,101.6,126.44,False,2024
13,51,4,sgf,11,KIRK,126.44,101.6,True,2024
13,52,7,POO,10,ZSF,103.86,103.7,True,2024
13,52,10,ZSF,7,POO,103.7,103.86,False,2024
13,53,6,ROUX,5,WOOD,110.64,98.82,True,2024
13,53,5,WOOD,6,ROUX,98.82,110.64,False,2024
13,54,3,GV,2,3000,133.18,105.36,True,2024
13,54,2,3000,3,GV,105.36,133.18,False,2024
13,55,8,MP,12,GEMP,126.4,66.54,True,2024
13,55,12,GEMP,8,MP,66.54,126.4,False,2024
13,56,4,sgf,1,PATS,143.62,63.88,True,2024
13,56,1,PATS,4,sgf,63.88,143.62,False,2024
13,57,10,ZSF,9,KESS,80.24,116.48,False,2024
13,57,9,KESS,10,ZSF,116.48,80.24,True,2024
13,58,5,WOOD,11,KIRK,99.3,82.9,True,2024
13,58,11,KIRK,5,WOOD,82.9,99.3,False,2024
13,59,2,3000,7,POO,155.24,103.44,True,2024
13,59,7,POO,2,3000,103.44,155.24,False,2024
13,60,3,GV,6,ROUX,80.42,63.74,True,2024
13,60,6,ROUX,3,GV,63.74,80.42,False,2024
13,61,4,sgf,8,MP,139.84,102.68,True,2024
13,61,8,MP,4,sgf,102.68,139.84,False,2024
13,62,12,GEMP,10,ZSF,60.78,128.28,False,2024
13,62,10,ZSF,12,GEMP,128.28,60.78,True,2024
13,63,1,PATS,5,WOOD,81.84,81.3,True,2024
13,63,5,WOOD,1,PATS,81.3,81.84,False,2024
13,64,9,KESS,2,3000,75.84,99.52,False,2024
13,64,2,3000,9,KESS,99.52,75.84,True,2024
13,65,11,KIRK,3,GV,114.08,140.3,False,2024
13,65,3,GV,11,KIRK,140.3,114.08,True,2024
13,66,7,POO,6,ROUX,153.6,120.04,True,2024
13,66,6,ROUX,7,POO,120.04,153.6,False,2024
13,67,8,MP,10,ZSF,135.88,111.22,True,2024
13,67,10,ZSF,8,MP,111.22,135.88,False,2024
13,68,5,WOOD,4,sgf,86.52,87.76,False,2024
13,68,4,sgf,5,WOOD,87.76,86.52,True,2024
13,69,2,3000,12,GEMP,90.96,78.58,True,2024
13,69,12,GEMP,2,3000,78.58,90.96,False,2024
13,70,3,GV,1,PATS,115.02,90.2,True,2024
13,70,1,PATS,3,GV,90.2,115.02,False,2024
13,71,6,ROUX,9,KESS,140.16,108.26,True,2024
13,71,9,KESS,6,ROUX,108.26,140.16,False,2024
13,72,7,POO,11,KIRK,99.0,105.68,False,2024
13,72,11,KIRK,7,POO,105.68,99.0,True,2024
13,73,5,WOOD,8,MP,89.96,75.78,True,2024
13,73,8,MP,5,WOOD,75.78,89.96,False,2024
13,74,10,ZSF,2,3000,97.08,115.24,False,2024
13,74,2,3000,10,ZSF,115.24,97.08,True,2024
13,75,4,sgf,3,GV,101.46,131.02,False,2024
13,75,3,GV,4,sgf,131.02,101.46,True,2024
13,76,12,GEMP,6,ROUX,85.68,127.5,False,2024
13,76,6,ROUX,12,GEMP,127.5,85.68,True,2024
13,77,1,PATS,7,POO,114.64,100.9,True,2024
13,77,7,POO,1,PATS,100.9,114.64,False,2024
13,78,9,KESS,11,KIRK,120.22,103.52,True,2024
13,78,11,KIRK,9,KESS,103.52,120.22,False,2024
13,79,8,MP,2,3000,136.28,116.82,True,2024
13,79,2,3000,8,MP,116.82,136.28,False,2024
13,80,3,GV,5,WOOD,73.16,119.82,False,2024
13,80,5,WOOD,3,GV,119.82,73.16,True,2024
13,81,6,ROUX,10,ZSF,94.5,111.72,False,2024
13,81,10,ZSF,6,ROUX,111.72,94.5,True,2024
13,82,7,POO,4,sgf,81.86,107.06,False,2024
13,82,4,sgf,7,POO,107.06,81.86,True,2024
13,83,11,KIRK,12,GEMP,171.58,129.16,True,2024
13,83,12,GEMP,11,KIRK,129.16,171.58,False,2024
13,84,9,KESS,1,PATS,107.42,85.94,True,2024
13,84,1,PATS,9,KESS,85.94,107.42,False,2024
13,85,3,GV,8,MP,115.64,107.4,True,2024
13,85,8,MP,3,GV,107.4,115.64,False,2024
13,86,2,3000,6,ROUX,116.56,96.36,True,2024
13,86,6,ROUX,2,3000,96.36,116.56,False,2024
13,87,5,WOOD,7,POO,97.9,105.16,False,2024
13,87,7,POO,5,WOOD,105.16,97.9,True,2024
13,88,10,ZSF,11,KIRK,99.9,118.88,False,2024
13,88,11,KIRK,10,ZSF,118.88,99.9,True,2024
13,89,4,sgf,9,KESS,116.24,117.8,False,2024
13,89,9,KESS,4,sgf,117.8,116.24,True,2024
13,90,12,GEMP,1,PATS,141.06,86.24,True,2024
13,90,1,PATS,12,GEMP,86.24,141.06,False,2024
13,91,3,GV,5,WOOD,133.5,123.62,True,2024
13,91,5,WOOD,3,GV,123.62,133.5,False,2024
13,92,4,sgf,2,3000,137.78,126.94,True,2024
13,92,2,3000,4,sgf,126.94,137.78,False,2024
13,93,11,KIRK,9,KESS,88.56,107.54,False,2024
13,93,9,KESS,11,KIRK,107.54,88.56,True,2024
13,94,10,ZSF,6,ROUX,118.48,114.3,True,2024
13,94,6,ROUX,10,ZSF,114.3,118.48,False,2024
13,95,1,PATS,12,GEMP,97.42,108.64,False,2024
13,95,12,GEMP,1,PATS,108.64,97.42,True,2024
13,96,7,POO,8,MP,133.68,98.38,True,2024
13,96,8,MP,7,POO,98.38,133.68,False,2024
13,97,3,GV,4,sgf,142.4,126.28,True,2024
13,97,4,sgf,3,GV,126.28,142.4,False,2024
13,98,2,3000,5,WOOD,95.4,126.46,False,2024
13,98,5,WOOD,2,3000,126.46,95.4,True,2024
13,99,9,KESS,10,ZSF,118.38,88.6,True,2024
13,99,10,ZSF,9,KESS,88.6,118.38,False,2024
13,100,11,KIRK,12,GEMP,100.38,52.88,True,2024
13,100,12,GEMP,11,KIRK,52.88,100.38,False,2024
13,101,6,ROUX,7,POO,93.2,134.32,False,2024
13,101,7,POO,6,ROUX,134.32,93.2,True,2024
13,102,1,PATS,8,MP,101.08,106.12,False,2024
13,102,8,MP,1,PATS,106.12,101.08,True,2024
14,1,10,ZSF,8,MP,123.3,78.12,True,2024
14,1,8,MP,10,ZSF,78.12,123.3,False,2024
14,2,4,sgf,5,WOOD,80.86,89.36,False,2024
14,2,5,WOOD,4,sgf,89.36,80.86,True,2024
14,3,12,GEMP,2,3000,103.76,101.48,True,2024
14,3,2,3000,12,GEMP,101.48,103.76,False,2024
14,4,1,PATS,3,GV,84.06,148.32,False,2024
14,4,3,GV,1,PATS,148.32,84.06,True,2024
14,5,9,KESS,6,ROUX,120.42,110.44,True,2024
14,5,6,ROUX,9,KESS,110.44,120.42,False,2024
14,6,11,KIRK,7,POO,134.68,71.88,True,2024
14,6,7,POO,11,KIRK,71.88,134.68,False,2024
14,7,8,MP,5,WOOD,115.28,119.12,False,2024
14,7,5,WOOD,8,MP,119.12,115.28,True,2024
14,8,2,3000,10,ZSF,83.96,135.1,False,2024
14,8,10,ZSF,2,3000,135.1,83.96,True,2024
14,9,3,GV,4,sgf,104.2,116.22,False,2024
14,9,4,sgf,3,GV,116.22,104.2,True,2024
14,10,6,ROUX,12,GEMP,96.04,117.4,False,2024
14,10,12,GEMP,6,ROUX,117.4,96.04,True,2024
14,11,7,POO,1,PATS,65.44,114.44,False,2024
14,11,1,PATS,7,POO,114.44,65.44,True,2024
14,12,11,KIRK,9,KESS,108.46,111.22,False,2024
14,12,9,KESS,11,KIRK,111.22,108.46,True,2024
14,13,2,3000,8,MP,87.58,68.48,True,2024
14,13,8,MP,2,3000,68.48,87.58,False,2024
14,14,5,WOOD,3,GV,145.76,113.08,True,2024
14,14,3,GV,5,WOOD,113.08,145.76,False,2024
14,15,10,ZSF,6,ROUX,109.02,62.98,True,2024
14,15,6,ROUX,10,ZSF,62.98,109.02,False,2024
14,16,4,sgf,7,POO,132.18,68.58,True,2024
14,16,7,POO,4,sgf,68.58,132.18,False,2024
14,17,12,GEMP,11,KIRK,53.6,133.52,False,2024
14,17,11,KIRK,12,GEMP,133.52,53.6,True,2024
14,18,1,PATS,9,KESS,119.56,118.64,True,2024
14,18,9,KESS,1,PATS,118.64,119.56,False,2024
14,19,8,MP,3,GV,114.64,116.28,False,2024
14,19,3,GV,8,MP,116.28,114.64,True,2024
14,20,6,ROUX,2,3000,78.9,81.5,False,2024
14,20,2,3000,6,ROUX,81.5,78.9,True,2024
14,21,7,POO,5,WOOD,88.78,105.94,False,2024
14,21,5,WOOD,7,POO,105.94,88.78,True,2024
14,22,11,KIRK,10,ZSF,137.8,105.88,True,2024
14,22,10,ZSF,11,KIRK,105.88,137.8,False,2024
14,23,9,KESS,4,sgf,95.42,131.26,False,2024
14,23,4,sgf,9,KESS,131.26,95.42,True,2024
14,24,1,PATS,12,GEMP,90.82,107.7,False,2024
14,24,12,GEMP,1,PATS,107.7,90.82,True,2024
14,25,6,ROUX,8,MP,148.5,103.12,True,2024
14,25,8,MP,6,ROUX,103.12,148.5,False,2024
14,26,3,GV,7,POO,125.26,122.0,True,2024
14,26,7,POO,3,GV,122.0,125.26,False,2024
14,27,2,3000,11,KIRK,127.96,123.24,True,2024
14,27,11,KIRK,2,3000,123.24,127.96,False,2024
14,28,5,WOOD,9,KESS,116.28,91.76,True,2024
14,28,9,KESS,5,WOOD,91.76,116.28,False,2024
14,29,10,ZSF,1,PATS,61.16,99.42,False,2024
14,29,1,PATS,10,ZSF,99.42,61.16,True,2024
14,30,4,sgf,12,GEMP,118.58,76.44,True,2024
14,30,12,GEMP,4,sgf,76.44,118.58,False,2024
14,31,8,MP,7,POO,76.32,82.46,False,2024
14,31,7,POO,8,MP,82.46,76.32,True,2024
14,32,11,KIRK,6,ROUX,84.1,103.0,False,2024
14,32,6,ROUX,11,KIRK,103.0,84.1,True,2024
14,33,9,KESS,3,GV,126.66,86.18,True,2024
14,33,3,GV,9,KESS,86.18,126.66,False,2024
14,34,1,PATS,2,3000,99.06,98.7,True,2024
14,34,2,3000,1,PATS,98.7,99.06,False,2024
14,35,12,GEMP,5,WOOD,89.38,109.52,False,2024
14,35,5,WOOD,12,GEMP,109.52,89.38,True,2024
14,36,4,sgf,10,ZSF,102.32,136.82,False,2024
14,36,10,ZSF,4,sgf,136.82,102.32,True,2024
14,37,11,KIRK,8,MP,117.92,88.94,True,2024
14,37,8,MP,11,KIRK,88.94,117.92,False,2024
14,38,7,POO,9,KESS,124.3,114.88,True,2024
14,38,9,KESS,7,POO,114.88,124.3,False,2024
14,39,6,ROUX,1,PATS,111.3,73.44,True,2024
14,39,1,PATS,6,ROUX,73.44,111.3,False,2024
14,40,3,GV,12,GEMP,125.48,57.24,True,2024
14,40,12,GEMP,3,GV,57.24,125.48,False,2024
14,41,2,3000,4,sgf,69.88,102.74,False,2024
14,41,4,sgf,2,3000,102.74,69.88,True,2024
14,42,5,WOOD,10,ZSF,67.74,123.0,False,2024
14,42,10,ZSF,5,WOOD,123.0,67.74,True,2024
14,43,8,MP,9,KESS,122.76,130.14,False,2024
14,43,9,KESS,8,MP,130.14,122.76,True,2024
14,44,1,PATS,11,KIRK,112.46,140.72,False,2024
14,44,11,KIRK,1,PATS,140.72,112.46,True,2024
14,45,12,GEMP,7,POO,90.7,89.58,True,2024
14,45,7,POO,12,GEMP,89.58,90.7,False,2024
14,46,4,sgf,6,ROUX,84.76,99.4,False,2024
14,46,6,ROUX,4,sgf,99.4,84.76,True,2024
14,47,10,ZSF,3,GV,94.34,92.54,True,2024
14,47,3,GV,10,ZSF,92.54,94.34,False,2024
14,48,5,WOOD,2,3000,118.14,137.44,False,2024
14,48,2,3000,5,WOOD,137.44,118.14,True,2024
14,49,1,PATS,8,MP,90.56,103.9,False,2024
14,49,8,MP,1,PATS,103.9,90.56,True,2024
14,50,9,KESS,12,GEMP,102.08,118.44,False,2024
14,50,12,GEMP,9,KESS,118.44,102.08,True,2024
14,51,11,KIRK,4,sgf,101.6,126.44,False,2024
14,51,4,sgf,11,KIRK,126.44,101.6,True,2024
14,52,7,POO,10,ZSF,103.86,103.7,True,2024
14,52,10,ZSF,7,POO,103.7,103.86,False,2024
14,53,6,ROUX,5,WOOD,110.64,98.82,True,2024
14,53,5,WOOD,6,ROUX,98.82,110.64,False,2024
14,54,3,GV,2,3000,133.18,105.36,True,2024
14,54,2,3000,3,GV,105.36,133.18,False,2024
14,55,8,MP,12,GEMP,126.4,66.54,True,2024
14,55,12,GEMP,8,MP,66.54,126.4,False,2024
14,56,4,sgf,1,PATS,143.62,63.88,True,2024
14,56,1,PATS,4,sgf,63.88,143.62,False,2024
14,57,10,ZSF,9,KESS,80.24,116.48,False,2024
14,57,9,KESS,10,ZSF,116.48,80.24,True,2024
14,58,5,WOOD,11,KIRK,99.3,82.9,True,2024
14,58,11,KIRK,5,WOOD,82.9,99.3,False,2024
14,59,2,3000,7,POO,155.24,103.44,True,2024
14,59,7,POO,2,3000,103.44,155.24,False,2024
14,60,3,GV,6,ROUX,80.42,63.74,True,2024
14,60,6,ROUX,3,GV,63.74,80.42,False,2024
14,61,4,sgf,8,MP,139.84,102.68,True,2024
14,61,8,MP,4,sgf,102.68,139.84,False,2024
14,62,12,GEMP,10,ZSF,60.78,128.28,False,2024
14,62,10,ZSF,12,GEMP,128.28,60.78,True,2024
14,63,1,PATS,5,WOOD,81.84,81.3,True,2024
14,63,5,WOOD,1,PATS,81.3,81.84,False,2024
14,64,9,KESS,2,3000,75.84,99.52,False,2024
14,64,2,3000,9,KESS,99.52,75.84,True,2024
14,65,11,KIRK,3,GV,114.08,140.3,False,2024
14,65,3,GV,11,KIRK,140.3,114.08,True,2024
14,66,7,POO,6,ROUX,153.6,120.04,True,2024
14,66,6,ROUX,7,POO,120.04,153.6,False,2024
14,67,8,MP,10,ZSF,135.88,111.22,True,2024
14,67,10,ZSF,8,MP,111.22,135.88,False,2024
14,68,5,WOOD,4,sgf,86.52,87.76,False,2024
14,68,4,sgf,5,WOOD,87.76,86.52,True,2024
14,69,2,3000,12,GEMP,90.96,78.58,True,2024
14,69,12,GEMP,2,3000,78.58,90.96,False,2024
14,70,3,GV,1,PATS,115.02,90.2,True,2024
14,70,1,PATS,3,GV,90.2,115.02,False,2024
14,71,6,ROUX,9,KESS,140.16,108.26,True,2024
14,71,9,KESS,6,ROUX,108.26,140.16,False,2024
14,72,7,POO,11,KIRK,99.0,105.68,False,2024
14,72,11,KIRK,7,POO,105.68,99.0,True,2024
14,73,5,WOOD,8,MP,89.96,75.78,True,2024
14,73,8,MP,5,WOOD,75.78,89.96,False,2024
14,74,10,ZSF,2,3000,97.08,115.24,False,2024
14,74,2,3000,10,ZSF,115.24,97.08,True,2024
14,75,4,sgf,3,GV,101.46,131.02,False,2024
14,75,3,GV,4,sgf,131.02,101.46,True,2024
14,76,12,GEMP,6,ROUX,85.68,127.5,False,2024
14,76,6,ROUX,12,GEMP,127.5,85.68,True,2024
14,77,1,PATS,7,POO,114.64,100.9,True,2024
14,77,7,POO,1,PATS,100.9,114.64,False,2024
14,78,9,KESS,11,KIRK,120.22,103.52,True,2024
14,78,11,KIRK,9,KESS,103.52,120.22,False,2024
14,79,8,MP,2,3000,136.28,116.82,True,2024
14,79,2,3000,8,MP,116.82,136.28,False,2024
14,80,3,GV,5,WOOD,73.16,119.82,False,2024
14,80,5,WOOD,3,GV,119.82,73.16,True,2024
14,81,6,ROUX,10,ZSF,94.5,111.72,False,2024
14,81,10,ZSF,6,ROUX,111.72,94.5,True,2024
14,82,7,POO,4,sgf,81.86,107.06,False,2024
14,82,4,sgf,7,POO,107.06,81.86,True,2024
14,83,11,KIRK,12,GEMP,171.58,129.16,True,2024
14,83,12,GEMP,11,KIRK,129.16,171.58,False,2024
14,84,9,KESS,1,PATS,107.42,85.94,True,2024
14,84,1,PATS,9,KESS,85.94,107.42,False,2024
14,85,3,GV,8,MP,115.64,107.4,True,2024
14,85,8,MP,3,GV,107.4,115.64,False,2024
14,86,2,3000,6,ROUX,116.56,96.36,True,2024
14,86,6,ROUX,2,3000,96.36,116.56,False,2024
14,87,5,WOOD,7,POO,97.9,105.16,False,2024
14,87,7,POO,5,WOOD,105.16,97.9,True,2024
14,88,10,ZSF,11,KIRK,99.9,118.88,False,2024
14,88,11,KIRK,10,ZSF,118.88,99.9,True,2024
14,89,4,sgf,9,KESS,116.24,117.8,False,2024
14,89,9,KESS,4,sgf,117.8,116.24,True,2024
14,90,12,GEMP,1,PATS,141.06,86.24,True,2024
14,90,1,PATS,12,GEMP,86.24,141.06,False,2024
14,91,3,GV,5,WOOD,133.5,123.62,True,2024
14,91,5,WOOD,3,GV,123.62,133.5,False,2024
14,92,4,sgf,2,3000,137.78,126.94,True,2024
14,92,2,3000,4,sgf,126.94,137.78,False,2024
14,93,11,KIRK,9,KESS,88.56,107.54,False,2024
14,93,9,KESS,11,KIRK,107.54,88.56,True,2024
14,94,10,ZSF,6,ROUX,118.48,114.3,True,2024
14,94,6,ROUX,10,ZSF,114.3,118.48,False,2024
14,95,1,PATS,12,GEMP,97.42,108.64,False,2024
14,95,12,GEMP,1,PATS,108.64,97.42,True,2024
14,96,7,POO,8,MP,133.68,98.38,True,2024
14,96,8,MP,7,POO,98.38,133.68,False,2024
14,97,3,GV,4,sgf,142.4,126.28,True,2024
14,97,4,sgf,3,GV,126.28,142.4,False,2024
14,98,2,3000,5,WOOD,95.4,126.46,False,2024
14,98,5,WOOD,2,3000,126.46,95.4,True,2024
14,99,9,KESS,10,ZSF,118.38,88.6,True,2024
14,99,10,ZSF,9,KESS,88.6,118.38,False,2024
14,100,11,KIRK,12,GEMP,100.38,52.88,True,2024
14,100,12,GEMP,11,KIRK,52.88,100.38,False,2024
14,101,6,ROUX,7,POO,93.2,134.32,False,2024
14,101,7,POO,6,ROUX,134.32,93.2,True,2024
14,102,1,PATS,8,MP,101.08,106.12,False,2024
14,102,8,MP,1,PATS,106.12,101.08,True,2024
15,1,10,ZSF,8,MP,123.3,78.12,True,2024
15,1,8,MP,10,ZSF,78.12,123.3,False,2024
15,2,4,sgf,5,WOOD,80.86,89.36,False,2024
15,2,5,WOOD,4,sgf,89.36,80.86,True,2024
15,3,12,GEMP,2,3000,103.76,101.48,True,2024
15,3,2,3000,12,GEMP,101.48,103.76,False,2024
15,4,1,PATS,3,GV,84.06,148.32,False,2024
15,4,3,GV,1,PATS,148.32,84.06,True,2024
15,5,9,KESS,6,ROUX,120.42,110.44,True,2024
